STATE,STUDENT PILOT,SPORT PILOT,REC PILOT,PRIVATE PILOT,COM PILOT,ATP PILOT,TOTAL US PILOT
AA-AMERICAS,0,0,0,4,2,6,12
AE-EUROPE AND CANADA,117,3,0,66,56,52,294
ALASKA,2200,57,0,2583,1659,2258,8757
ALABAMA,2776,86,1,2092,1975,1547,8477
AP-PACIFIC,272,1,0,48,64,37,422
ARKANSAS,2248,91,0,1718,1091,970,6118
AMERICAN SAMOA,0,0,0,0,0,1,1
ARIZONA,6674,192,0,5466,5648,5997,23977
CALIFORNIA,22327,541,4,19779,10952,12294,65897
COLORADO,5787,154,2,4719,3195,6869,20726
CONNECTICUT,1411,30,0,1416,730,1341,4928
DIST OF COLUMBIA,268,6,0,196,73,144,687
DELAWARE,474,14,0,343,213,445,1489
FLORIDA,24101,603,1,14441,12386,20553,72085
FED ST MICRONESIA,0,0,0,0,2,0,2
GEORGIA,6046,170,4,4747,2750,7627,21344
GUAM,42,0,0,22,20,98,182
HAWAII,1118,17,1,595,748,1370,3849
IOWA,1782,103,3,1925,893,808,5514
IDAHO,1803,95,2,1830,1155,1337,6222
ILLINOIS,5716,309,5,4794,2578,4842,18244
INDIANA,3849,208,3,3461,1654,2545,11720
KANSAS,2356,94,2,2427,1211,1349,7439
KENTUCKY,2185,69,4,1655,904,2160,6977
LOUISIANA,2048,66,0,1598,1099,1178,5989
MASSACHUSETTS,3162,70,1,2525,1206,1620,8584
MARYLAND,3490,92,2,2208,1332,1762,8886
MAINE,791,54,1,786,473,544,2649
MARSHALL ISLANDS,0,0,0,0,1,0,1
MICHIGAN,4636,228,3,4509,2306,3573,15255
MINNESOTA,3762,117,1,3989,2148,3947,13964
MISSOURI,3500,168,3,2942,1685,2211,10509
NORTH MARIANA ISL,5,0,0,0,5,3,13
MISSISSIPPI,1879,33,2,1104,843,968,4829
MONTANA,1360,41,2,1351,914,761,4429
NORTH CAROLINA,5057,174,2,4514,2639,4821,17207
NORTH DAKOTA,1461,29,0,1061,984,295,3830
NEBRASKA,1342,38,0,1234,657,657,3928
NEW HAMPSHIRE,936,52,1,981,564,1471,4005
NEW JERSEY,3274,48,3,2426,1364,2382,9497
NEW MEXICO,1460,78,1,1447,961,649,4596
NEVADA,2224,73,1,1826,1425,3115,8664
NEW YORK,6869,135,17,4788,2646,3215,17670
OHIO,5360,259,14,4892,2389,4005,16919
OKLAHOMA,3635,61,0,2445,1623,1646,9410
OREGON,3208,110,1,3209,2139,1657,10324
PENNSYLVANIA,5312,204,9,4469,2409,4504,16907
PUERTO RICO,882,48,0,285,240,364,1819
PALAU,0,0,0,1,0,0,1
RHODE ISLAND,379,8,0,276,157,245,1065
SOUTH CAROLINA,2416,90,1,2187,1216,2418,8328
SOUTH DAKOTA,735,58,1,797,504,469,2564
TENNESSEE,4546,120,4,3411,2191,4778,15050
TEXAS,18914,433,4,13696,9133,18019,60199
UTAH,3375,84,1,2524,1940,2857,10781
VIRGINIA,4980,161,1,3737,2607,4503,15989
VIRGIN ISLANDS,106,1,0,43,26,45,221
VERMONT,391,10,0,430,261,237,1329
WASHINGTON,7021,233,1,5924,3356,6701,23236
WISCONSIN,3133,280,2,3285,1379,2283,10362
WEST VIRGINIA,720,42,1,548,280,329,1920
WYOMING,695,21,2,701,335,359,2113
US TOTALS,206616,6562,114,166476,105396,163241,648405
FOREIGN TOTALS,11808,29,1,6607,13007,7317,38769
GRAND TOTALS,218424,6591,115,173083,118403,170558,687174
