_c0,lineofbusiness,_2020minority,_2020non_minority
0,Office of Audit Evaluation (AAE) ,0.5710000000000001,0.429
1,Office of Civil Rights (ACR) ,0.672,0.32799999999999996
2,Office of Finance and Management (AFN) ,0.344,0.6559999999999999
3,Office of Chief Council (AGC) ,0.317,0.6829999999999999
4,Office of Gov’t & Industry Affairs (AGI) ,0.556,0.444
5,Office of Human Resources (AHR) ,0.519,0.48100000000000004
6,Office of NextGen (ANG) ,0.312,0.688
7,Office of the Administrator (AOA) ,0.5379999999999999,0.462
8,Office of Communications (AOC) ,0.28,0.72
9,Office of Policy Int’l Affairs & Env. (APL) ,0.324,0.6759999999999999
10,Office of Airports (ARP) ,0.33799999999999997,0.662
11,Security & Haz. Mat. Safety (ASH) ,0.37799999999999995,0.622
12,Office of Comm. Space Trans. (AST) ,0.337,0.6629999999999999
13,Air Traffic Organization (ATO) ,0.27,0.73
14,Aviation Safety (AVS) ,0.249,0.7509999999999999
15,Grand Total ,0.278,0.722
